target,title,address,imgUrl,description,latitude,longitude,rating,place_id
coffees,Đi Coffee House,Đối diện 64 Đ. Nam Hồ Phường 11 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMRif2t626JngbEDasBMVI2HSpcVlwt_69iypUQ=w138-h92-k-no,,11.9498649,108.478771,4.6,ChIJSWUgj8gTcTER_Jc_blF7Q0Y
coffees,4 Twenty a Place(Chuồng Coffee),8d Đoàn Thị Điểm Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMhWr1E7q3eyZyhFJPHCKtqzfD54vgOufmR8qEd=w122-h92-k-no,,11.938728099999999,108.4332451,5,ChIJFfBpFlMTcTERSHjiT9l5nFU
coffees,Roly Poly - Coffee & BBQ,18/2 Đường Khởi Nghĩa Bắc Sơn Phường 10 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOqLEiLfEkFRHeQJ5r2mbLBhL_c3hUCj0_-l4tY=w115-h92-k-no,,11.934650699999999,108.4506966,4.6,ChIJsQUxXz0TcTERbeX_3UDYswY
coffees,UÔNG HOME COFFEE - TIỆM CAFE UÔNG GIÀ,Hẻm 71 Hoàng Hoa Thám Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPr0tK08M6GMkLliFQENSDxKxSFkznlmf88r69A=w122-h92-k-no,,11.93511,108.464646,4.9,ChIJg6W4H6cTcTEREr6PI3xS1jc
coffees,Len's Coffee,7 Đ. Nguyễn Chí Thanh Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMMjrtaSc_oTlyYLZL7VPhlfL-yK2tabi7xKMpI=w80-h106-k-no,,11.942124,108.436056,3.8,ChIJhRir5i4TcTERJIdYv8QKjy0
coffees,Ty Coffee,Hẻm 38 Đ. Trần Phú Phường 4 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO-X5b8fp6xYVnvochzyFChItMmYY-k5c3J9TAH=w80-h142-k-no,,11.936610199999999,108.4324305,4.4,ChIJOTB8nZ0TcTERjHbsmlAzkn0
coffees,Windmills coffee Bùi Thị xuân,185a Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPyN4t-JWrTl2So8wsEMsoBUzegcvyiGQv8fzKF=w122-h92-k-no,,11.9493622,108.4386511,4.6,ChIJzWY2HC8TcTER8ByqspVpcHc
coffees,Vuông Tròn Coffee & Tea,110 Đường Phù Đổng Thiên Vương Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNVScLKVq62bgCIUAFaHGNUAAZIUWoWe5zNttai=w122-h92-k-no,,11.9619397,108.44306999999999,4.8,ChIJEYCrs5sTcTERaKD1thjCBlM
coffees,Tuấn Coffee Shop,143 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipObJut9MtNHN_jTlC4fgubj2m6r_6zWfqz2bRgl=w122-h92-k-no,,11.9459805,108.43337419999999,4.7,ChIJq01M2CsTcTERY6S-OhpMijs
coffees,Hẻm Nhỏ Coffee,49 Ba Tháng Hai Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN3tETxhiI7haHqVP1ECUNKSDOLIVl-wkdpMvis=w122-h92-k-no,,11.9424029,108.43436539999999,4.8,ChIJQxtQxV8TcTEReI5nmlPCrDs
