target,title,address,imgUrl,description,latitude,longitude,rating
coffee,Kimochi coffee,4 Trần Quang Diệu Phường 10 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPe-d8rxaIs1p43hKgKYYux4E0m6KOw6PkdBB_P=w163-h92-k-no,,11.942878199999999,108.4676137,4.5
coffee,Tiệm cafe phía tây mặt trời - Specialty coffee Da Lat,12_6 Lê Văn Tám Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO0ZE6oPmzyJisHIjlsPyP0UctR0PS1LDSt507D=w80-h142-k-no,,11.937173099999999,108.4544329,4.6
coffee,coffee kem Bơ,162 Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNdpP8duSfgUg1Cm14ppiW_kyxQMysVaYnRMdHX=w163-h92-k-no,,11.949067999999999,108.4391375,
coffee,Proust Coffee - Specialty Coffee & Teapresso,83 Đường An Dương Vương Phường 2 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOm9SSqHQ8Z-u_tWs-0p5DVE-4xMTId-MeZrFOj=w137-h92-k-no,,11.954587799999999,108.435695,5
coffee,NHIÊN - Coffee & Bakery,Lô Biệt Lập 34 Khu Quy Hoạch Yersin Phường 9 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPFCJcR1XpV5UQJ7TfuJWwjjHcN_h74or4T9JFb=w144-h92-k-no,,11.9453632,108.45420539999999,4.6
coffee,Bittersweet Coffee,5 Nguyễn Văn Trỗi Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO1ODwMSJk33PA7q6durxBSukj4KXSRP9v-DEFf=w122-h92-k-no,,11.944355999999999,108.4359109,4.7
coffee,Kết Nối 2 coffee,211 Đường Hai Bà Trưng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipORmuy8W6EyUWlzBBLpVIL8JDqdlacnAQ6qJzvt=w80-h142-k-no,,11.9482795,108.4334056,4
coffee,Horizon Coffee,31/6 Đường 3/4 Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN5HTMC2sGYZxV-aqqjVu9Tm3mSUfg6UEmdRUEn=w163-h92-k-no,,11.9238295,108.4484473,4.2
coffee,Industry Coffee,201 Đ. Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMAUMnrgZ0YwUCK171HSOKpI1h2dIWb0FoDFzpy=w122-h92-k-no,,11.9523209,108.4393267,5
coffee,The B Coffee and Specialties,41C Đường Trần Khánh Dư Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPXYia0kioUNbTi8psFTpQK1SRcpIor06u4YQTJ=w80-h106-k-no,,11.9630605,108.44209049999999,4.8
coffee,Cà Phê Amelie,18/3 Lê Văn Tám Phường 10 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNOrZVEvQN1RMEphUhSLfnp6dvVp0NnkzjldWN0=w80-h171-k-no,,11.937337999999999,108.4553797,5
coffee,ToNgo Coffee,1 Hoàng Hoa Thám Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNyebePGZTx1Kjp2ZwEF0li_U_6U7Iy_9vdgR1I=w80-h106-k-no,,11.9386118,108.4625705,4.9
